label,t,centroid_z
5,18,2.4263461538461537
78,18,2.48
91,18,2.48
101,18,3.695384615384615
139,18,4.689075630252101
149,18,3.789718875502008
200,18,3.875846994535519
202,18,4.827572815533981
206,18,4.4335849056603776
209,18,3.7199999999999998
239,18,5.8012334801762115
240,18,5.727619047619047
242,18,4.96
243,18,5.770970464135021
244,18,5.58
263,18,5.564422110552764
265,18,4.96
270,18,4.96
277,18,4.96
285,18,6.848022598870057
286,18,6.426666666666667
317,18,6.2
318,18,7.305666666666666
324,18,8.398181818181818
330,18,7.4399999999999995
331,18,8.184
352,18,9.283355704697986
369,18,8.68
374,18,8.68
385,18,10.241071428571429
392,18,10.586969696969696
393,18,11.312753623188406
394,18,10.26247619047619
395,18,10.902641509433963
413,18,9.92
436,18,9.92
439,18,12.305822784810125
443,18,11.951489361702127
444,18,12.646410256410256
451,18,11.551375
454,18,12.355315315315316
455,18,11.64825
456,18,11.16
470,18,12.464695652173914
471,18,12.4
472,18,13.29433628318584
473,18,13.731368421052633
476,18,12.4
477,18,13.273391304347827
478,18,13.021968253968254
479,18,13.140779220779221
491,18,13.64
496,18,13.837934272300469
498,18,14.879999999999999
516,18,16.518571428571427
520,18,16.95221476510067
526,18,17.36
527,18,17.36
528,18,18.04989090909091
529,18,19.09252336448598
530,18,17.36
534,18,17.93326633165829
536,18,17.75821138211382
543,18,18.915254237288135
553,18,19.25127596439169
563,18,18.809350649350648
566,18,18.6
567,18,19.36734117647059
568,18,20.37142857142857
569,18,21.09893129770992
572,18,20.2803738317757
573,18,21.194814814814812
574,18,21.310697674418606
575,18,21.91627906976744
577,18,22.053255813953488
578,18,23.31888888888889
581,18,23.56
582,18,23.26823529411765
583,18,23.56
584,18,23.456666666666667
585,18,23.3616
586,18,23.205714285714286
587,18,23.25
588,18,23.215555555555554
70,19,2.904041450777202
71,19,3.8161632653061224
78,19,2.9176470588235297
101,19,3.596
140,19,5.467272727272728
141,19,5.3051546391752575
149,19,5.52812749003984
201,19,4.96
202,19,4.193942307692308
206,19,4.775243553008596
209,19,3.7199999999999998
239,19,6.2
242,19,4.96
243,19,5.650569105691057
244,19,4.96
277,19,5.259597315436242
285,19,6.626790697674418
287,19,6.85744966442953
300,19,6.2
318,19,7.237925925925926
331,19,8.15756345177665
369,19,9.767246376811594
374,19,9.720338983050848
385,19,10.178782608695652
394,19,9.92
412,19,8.249312977099237
416,19,10.053154362416107
417,19,14.961121495327102
439,19,12.086804123711339
444,19,12.892063492063492
451,19,11.16
452,19,13.53327868852459
454,19,12.034688796680497
455,19,11.634970760233918
471,19,14.879999999999999
472,19,13.995874439461884
477,19,13.00702928870293
492,19,14.559617224880382
496,19,13.77551912568306
504,19,14.803926380368097
513,19,19.84
516,19,17.72904761904762
517,19,17.36
520,19,17.36
526,19,16.90803738317757
536,19,18.063667820069206
553,19,18.60650918635171
564,19,20.14635294117647
567,19,19.17829596412556
568,19,20.184083769633506
569,19,21.23081081081081
571,19,21.08
573,19,21.19872340425532
574,19,21.08
575,19,23.56
576,19,21.45271676300578
577,19,23.257560975609756
579,19,19.88769230769231
580,19,22.60342857142857
581,19,23.56
584,19,23.25
586,19,23.1632
587,19,23.117142857142856
589,19,0.41333333333333333
590,19,3.420992907801418
592,19,3.7199999999999998
594,19,8.68
595,19,9.92
596,19,11.070849673202614
597,19,9.92
598,19,13.64
599,19,14.879999999999999
5,20,3.1
59,20,5.523919597989949
72,20,5.368051118210863
77,20,3.86975845410628
101,20,4.194810126582278
140,20,4.621384615384615
148,20,4.525360824742268
149,20,5.6606000000000005
175,20,7.4399999999999995
202,20,5.68093023255814
206,20,3.7670142180094786
209,20,3.841203007518797
212,20,7.4399999999999995
240,20,6.2
242,20,4.96
243,20,6.2
244,20,5.570461538461538
245,20,5.401980198019802
252,20,10.179464720194648
287,20,6.87461139896373
318,20,7.3144303797468355
