label,t,centroid_z
1,9,3.04164705882353
2,9,4.504907216494845
9,9,2.48
10,9,5.098517722878626
26,9,3.077536231884058
31,9,3.536296296296296
37,9,4.821915367483297
44,9,4.000524590163934
45,9,4.506212765957447
49,9,2.7096296296296294
74,9,2.48
82,9,4.31774358974359
102,9,4.533333333333333
108,9,3.091506849315069
109,9,2.697120622568093
110,9,5.521417322834646
111,9,5.554949494949495
112,9,5.639452054794521
122,9,6.579262472885032
175,9,5.53974025974026
185,9,7.031529411764706
200,9,5.692190476190476
201,9,5.490630630630631
202,9,5.499737335834896
227,9,5.428020512820512
229,9,4.96
230,9,5.395319148936171
232,9,4.96
233,9,4.96
239,9,5.544328767123288
254,9,5.5061904761904765
280,9,5.2787460815047025
291,9,5.203934426229509
300,9,7.2139975698663426
325,9,5.663283582089552
328,9,6.2
332,9,5.630995670995671
333,9,5.581523341523342
334,9,5.20141592920354
335,9,7.8713043478260865
336,9,8.008558951965066
337,9,8.038117647058824
338,9,7.9840585009140765
340,9,9.553772070626003
350,9,7.410960187353631
354,9,8.116363636363637
360,9,8.026438746438746
361,9,9.307126436781608
373,9,8.807892376681615
386,9,8.167466666666668
398,9,7.996580152671756
409,9,8.095
420,9,7.804705882352941
422,9,9.286727828746178
462,9,8.119452054794522
466,9,8.012658693652254
473,9,8.035933456561922
479,9,7.974220665499124
480,9,7.888761904761904
481,9,10.478574483250178
482,9,10.23
483,9,10.551552795031057
485,9,11.929655172413794
496,9,10.50713780918728
507,9,11.278904109589043
508,9,11.532205638474295
523,9,10.528488063660477
525,9,10.446060606060605
530,9,10.485294117647058
535,9,10.588368794326241
548,9,10.551698113207546
560,9,10.718484848484849
577,9,12.207845036319613
578,9,10.596363636363636
579,9,12.219435364041605
582,9,10.47404255319149
583,9,10.450122850122849
584,9,13.02283105022831
589,9,14.389565217391304
590,9,13.07214953271028
591,9,13.151056910569105
597,9,12.993949579831932
598,9,14.537021276595745
599,9,12.92626907073509
600,9,13.69924914675768
605,9,12.960695652173913
610,9,12.802162162162162
611,9,13.998533145275035
618,9,12.9646234676007
619,9,12.980842105263157
620,9,13.008044077134985
621,9,12.634427860696517
622,9,12.945340314136127
623,9,12.953011494252875
624,9,12.725749690210657
625,9,13.205547445255474
626,9,13.64
627,9,15.52129292929293
635,9,15.754040114613181
637,9,17.18914405010438
641,9,15.421024890190337
642,9,15.448127490039841
645,9,15.52744608399546
646,9,15.593202614379084
652,9,16.24811808118081
653,9,16.26090909090909
662,9,15.381701149425288
663,9,16.133626373626374
664,9,15.52695652173913
665,9,15.526536964980545
666,9,15.37768707482993
667,9,15.912110453648914
668,9,16.882321899736148
670,9,19.158681318681317
672,9,18.534436781609195
673,9,17.86974595842956
674,9,17.86488599348534
675,9,18.749259259259258
676,9,18.73818181818182
677,9,18.624313725490197
680,9,17.912268907563025
682,9,17.85500998003992
688,9,19.78938775510204
691,9,18.066377708978326
692,9,17.881008403361346
694,9,18.6
695,9,18.6
696,9,18.6
698,9,20.342394106813995
701,9,20.907777777777778
702,9,20.14881829733164
703,9,21.08
704,9,21.08
705,9,22.32
706,9,22.32
707,9,22.32
708,9,22.32
709,9,22.32
710,9,22.32
2,10,4.138976109215017
9,10,2.507302752293578
10,10,4.743703703703703
14,10,2.9661674008810572
25,10,8.80759894459103
26,10,2.999177570093458
31,10,3.0697560975609757
37,10,4.329093369418133
49,10,4.316292004634994
57,10,8.710243902439025
63,10,3.625652173913043
102,10,4.932444444444444
109,10,2.8030460921843687
110,10,5.545168539325842
112,10,5.5123534715960325
122,10,7.937991967871485
141,10,5.500663507109004
176,10,5.447698744769875
199,10,5.319999999999999
201,10,5.464977375565611
202,10,5.56
239,10,5.4911722141823445
255,10,5.6029629629629625
256,10,5.589253731343284
258,10,2.48
280,10,5.456
291,10,5.42020618556701
312,10,5.441669341894061
315,10,8.68
327,10,5.18110843373494
332,10,5.641786941580755
334,10,4.599272727272727
335,10,7.94326359832636
336,10,8.011598513011153
338,10,8.227764705882354
339,10,10.18775221238938
353,10,8.602094240837696
360,10,7.963555555555556
361,10,7.8918644067796615
374,10,7.4399999999999995
387,10,10.465340314136126
405,10,8.122230483271377
409,10,8.10565320665083
416,10,6.36873417721519
419,10,10.76574358974359
421,10,9.84597014925373
422,10,10.492996389891696
466,10,7.972356020942408
473,10,8.056915422885572
479,10,7.973199999999999
480,10,7.733516295025729
481,10,10.429817483189241
482,10,10.449066666666665
483,10,10.562101313320825
496,10,10.543803680981595
500,10,10.450997566909974
531,10,10.532927756653992
534,10,10.442105263157893
535,10,10.602328042328043
582,10,10.522535211267606
583,10,10.480897196261681
584,10,12.999855595667869
591,10,13.066716279069766
598,10,12.987368421052631
599,10,12.932456479690522
605,10,16.06650980392157
609,10,15.486745843230404
610,10,13.969087048832272
612,10,15.202399999999999
619,10,13.007197640117994
620,10,12.973155555555556
621,10,12.624321608040201
623,10,12.976161616161617
624,10,12.958112522686024
625,10,13.253162393162393
627,10,14.511820728291315
632,10,17.74153846153846
637,10,16.93671772428884
639,10,17.976915422885572
640,10,18.704219554030875
643,10,13.832248062015504
644,10,15.864964539007092
646,10,12.9839874411303
653,10,15.659278131634819
654,10,16.609514321295144
662,10,15.338588807785888
665,10,15.522657807308969
666,10,15.413464696223317
667,10,17.98696629213483
670,10,21.08
671,10,19.09706896551724
672,10,18.335737704918035
677,10,16.386257668711654
680,10,18.05132743362832
682,10,18.315232558139535
683,10,20.95526627218935
688,10,19.268311688311687
689,10,18.904729520865533
692,10,17.895598771750258
694,10,19.46778359511344
695,10,17.906190476190474
698,10,19.588709288299153
701,10,20.11865168539326
702,10,20.46
703,10,21.08
705,10,22.32
707,10,22.32
708,10,22.32
709,10,22.32
711,10,0.0
712,10,0.0
713,10,3.0432807570977918
714,10,3.0357037037037036
715,10,3.080796460176991
720,10,3.7199999999999998
722,10,5.341538461538462
723,10,5.632542372881356
724,10,6.2
725,10,7.966060606060606
726,10,8.046499162479062
727,10,7.981734357848518
728,10,7.976085686465433
729,10,8.107692307692307
732,10,8.043112840466925
733,10,8.029508196721311
734,10,10.658608695652173
735,10,10.760064829821717
736,10,10.588368794326241
737,10,11.16
738,10,10.489838187702265
739,10,10.6764
740,10,10.562030456852792
741,10,10.47979002624672
742,10,10.519333333333332
743,10,12.95111111111111
744,10,16.614478527607364
745,10,19.59413793103448
746,10,18.01216457960644
750,10,20.303070539419085
751,10,20.981755888650962
752,10,20.168104886769964
753,10,21.08
754,10,22.32
755,10,22.32
756,10,22.32
757,10,22.32
758,10,22.32
2,11,3.4212541254125415
14,11,4.693135435992579
31,11,3.040137931034483
32,11,4.3428571428571425
37,11,3.427296137339056
51,11,5.130446735395189
59,11,11.190243902439024
90,11,5.079449541284403
102,11,4.993665158371041
109,11,3.0148497854077254
110,11,5.556936542669584
112,11,5.478524124881741
185,11,6.508165680473373
201,11,5.435488721804512
227,11,5.468196721311475
230,11,5.573136531365313
236,11,5.274269972451791
240,11,4.8204329004329
256,11,5.58
280,11,5.459701492537313
300,11,4.435992714025501
313,11,3.14876404494382
314,11,5.3997163120567375
327,11,4.96
332,11,5.586471816283925
334,11,4.79013698630137
335,11,7.916612377850163
336,11,7.980158982511924
355,11,6.676317460317461
365,11,8.693626373626374
368,11,8.81175
387,11,9.139397590361446
405,11,7.713655172413794
409,11,8.884395604395605
415,11,10.666800501882056
416,11,8.78186968838527
421,11,9.3454110612855
423,11,9.770773638968482
463,11,10.50656862745098
466,11,7.829848484848485
479,11,7.942902584493042
480,11,7.7747528517110265
481,11,10.264900662251655
482,11,10.998147368421051
483,11,10.300701754385965
496,11,10.526222222222222
500,11,10.262568093385214
528,11,13.64
534,11,10.442105263157893
556,11,10.34998248686515
560,11,10.432625698324022
577,11,13.126126126126126
582,11,10.490976744186046
583,11,10.48555240793201
586,11,14.32760124610592
589,11,16.728389513108613
591,11,13.167814569536423
596,11,13.175
599,11,12.993180661577608
605,11,13.377952069716775
610,11,12.950225080385852
615,11,12.952268907563026
618,11,12.938438502673796
621,11,12.610000000000001
623,11,12.902085889570552
624,11,12.852623574144486
625,11,13.304864864864864
627,11,13.298295454545455
631,11,15.408284023668639
633,11,17.976915422885572
634,11,18.030747330960853
636,11,13.64
637,11,17.009170731707318
643,11,13.666382978723403
644,11,13.687509578544061
646,11,12.941504587155963
653,11,16.075211558307533
658,11,21.08
662,11,15.432268907563026
666,11,15.46736842105263
667,11,18.053533083645444
669,11,19.848280467445743
670,11,20.287115384615383
671,11,17.87806576402321
672,11,20.025
676,11,16.12
677,11,17.82816326530612
680,11,18.16
683,11,21.008323699421965
690,11,18.22449528936743
692,11,17.901555763823804
694,11,18.78971175166297
695,11,18.575844155844155
698,11,19.967920133111484
699,11,17.883506261180678
701,11,20.113994334277617
702,11,20.254773519163763
703,11,22.32
705,11,22.32
707,11,22.32
708,11,22.32
709,11,22.32
715,11,3.4150819672131147
718,11,3.080085653104925
719,11,3.0227355623100305
723,11,5.467872340425532
726,11,8.027851851851851
728,11,7.999141104294479
729,11,8.029508196721311
732,11,8.06939393939394
737,11,11.373960784313725
738,11,10.492735426008968
745,11,19.881218836565097
746,11,18.613333333333333
754,11,22.32
758,11,22.32
759,11,0.0
760,11,0.0
761,11,0.0
763,11,3.0268471953578335
764,11,3.058740017746229
765,11,5.478879736408567
