label,t,centroid_z
24,18,12.511944444444445
33,18,10.645752508361204
53,18,6.772535885167464
69,18,7.943188405797102
83,18,5.376581532416503
87,18,10.846868686868687
97,18,19.315762376237622
111,18,9.372643051771117
112,18,10.246315789473684
114,18,10.801322314049587
115,18,11.392645403377111
117,18,13.599814814814815
122,18,14.803185840707965
140,18,20.984505747126438
153,18,7.4399999999999995
155,18,14.42733229329173
160,18,21.457391304347826
169,18,5.496805111821087
181,18,4.876297010607521
185,18,3.7199999999999998
189,18,6.003174603174603
215,18,10.779835390946502
232,18,4.672463768115942
238,18,9.09702380952381
246,18,11.891982378854625
255,18,7.209714285714285
257,18,2.9833981841763944
265,18,18.049305135951663
269,18,16.837894736842106
275,18,21.098343195266274
279,18,22.119154929577466
280,18,8.072156862745098
281,18,13.170726817042606
287,18,4.143414634146342
295,18,6.2
300,18,15.107277628032344
312,18,21.73206896551724
315,18,2.52
318,18,10.724844720496893
321,18,5.0871
323,18,16.28074074074074
333,18,5.818461538461539
344,18,22.00340425531915
346,18,20.864858044164038
348,18,21.868721311475408
349,18,19.90238993710692
350,18,20.225706940874037
351,18,14.536677524429967
357,18,7.218571428571428
364,18,7.7057142857142855
366,18,12.837179487179487
370,18,20.23466119096509
372,18,19.820106951871658
376,18,20.848745980707395
378,18,20.660925925925927
379,18,18.53317365269461
390,18,19.06958579881657
24,19,13.19111111111111
44,19,11.986666666666666
69,19,7.847299270072993
83,19,5.262885245901638
87,19,11.071878172588832
97,19,19.26867989646247
105,19,5.5858675078864355
112,19,10.19736842105263
115,19,10.155294117647058
116,19,12.794132029339854
117,19,13.613839662447258
122,19,14.879999999999999
125,19,16.743136593591906
127,19,18.623001686340643
140,19,21.08144690781797
149,19,7.125525773195876
153,19,7.4399999999999995
155,19,14.442118780096308
160,19,21.235627530364372
181,19,4.293568281938326
185,19,3.7288888888888887
189,19,5.817446808510638
232,19,5.487436619718309
246,19,11.836363636363636
248,19,7.238829787234042
255,19,7.199052132701421
258,19,10.773828571428572
265,19,18.05252830188679
269,19,16.889113924050633
275,19,21.10965620328849
279,19,22.11763888888889
280,19,7.998429561200925
281,19,12.51785123966942
283,19,8.861271186440678
295,19,6.2
296,19,2.0898275862068965
300,19,15.106323907455012
306,19,9.700416666666667
310,19,12.1104033970276
312,19,21.73206896551724
314,19,7.625872689938398
323,19,15.08010582010582
333,19,5.870900473933649
335,19,10.656633663366337
343,19,3.2673272490221645
344,19,22.00340425531915
345,19,21.15324894514768
346,19,20.86553459119497
348,19,21.663135135135136
349,19,19.860972515856236
350,19,19.919341864716635
351,19,14.572137931034483
353,19,14.043885714285715
364,19,7.7057142857142855
366,19,13.375
370,19,20.201560574948665
372,19,19.723076923076924
376,19,20.997333333333334
378,19,20.65142857142857
390,19,19.075209580838322
24,20,13.81835616438356
33,20,9.553636363636363
44,20,10.9611320754717
69,20,7.522274881516587
71,20,6.988767908309455
87,20,9.80447204968944
95,20,17.16064308681672
97,20,19.51903165735568
105,20,7.560622568093384
112,20,10.211212121212121
115,20,9.46377358490566
116,20,11.968695652173913
117,20,13.576284584980236
122,20,14.751531531531532
127,20,18.506820809248556
131,20,16.65198738170347
136,20,16.920363636363636
140,20,21.054936170212766
149,20,7.1753974895397485
155,20,14.391397174254317
160,20,21.226476578411404
169,20,6.193297297297296
185,20,3.7644444444444445
189,20,5.6375956284153
220,20,14.718870056497176
232,20,5.2902891933028915
234,20,9.978569500674764
246,20,11.71051724137931
248,20,7.189396325459318
255,20,6.855336787564767
256,20,4.6039603960396045
257,20,2.9672010512483578
258,20,10.755994358251057
269,20,16.741252525252523
275,20,21.265511811023625
279,20,22.12720848056537
280,20,7.053873417721519
283,20,9.638737672583828
295,20,6.2
296,20,2.1944398340248963
300,20,15.216666666666667
307,20,3.4796376811594203
310,20,12.136730360934182
312,20,21.73206896551724
314,20,7.837142857142857
317,20,2.168904593639576
323,20,12.862857142857143
333,20,5.918181818181818
344,20,21.603850267379677
345,20,21.151169977924944
348,20,21.19412935323383
350,20,18.932100192678227
351,20,14.312964824120602
353,20,13.120489296636086
354,20,8.34027397260274
357,20,7.679367088607594
359,20,20.99271844660194
364,20,7.75
366,20,12.852698412698413
367,20,5.709166666666667
370,20,20.2145306122449
372,20,19.708345679012346
378,20,20.620419580419583
379,20,17.134640743871515
390,20,19.04757396449704
44,21,9.9944
69,21,7.487692307692307
76,21,12.841120448179272
87,21,9.5232
97,21,18.984473372781064
105,21,4.80624
109,21,6.432717086834734
111,21,9.401499013806706
112,21,10.300701754385965
115,21,13.563962264150943
116,21,12.13677749360614
117,21,13.798974358974359
119,21,13.51005988023952
124,21,17.393177257525082
127,21,18.455156695156695
136,21,17.518974358974358
140,21,21.059005291005292
147,21,5.50991304347826
149,21,7.122969072164948
160,21,21.226476578411404
169,21,6.175985915492957
181,21,3.5129072164948454
185,21,3.7377142857142855
189,21,5.60043956043956
206,21,8.42835294117647
220,21,17.81892156862745
232,21,4.636338983050847
245,21,11.70079295154185
248,21,10.481393034825869
255,21,6.851
257,21,2.951989389920424
258,21,10.763337969401947
259,21,8.92756183745583
265,21,18.005931558935362
268,21,8.295063613231552
269,21,16.72724279835391
275,21,21.25076682316119
278,21,14.473899999999999
279,21,22.12720848056537
295,21,6.2
296,21,2.3217021276595746
300,21,15.246938775510204
302,21,9.040727272727272
310,21,12.059068736141906
312,21,21.73206896551724
314,21,7.704979253112033
317,21,2.1379310344827585
323,21,15.606896551724137
333,21,6.035398230088496
344,21,21.612391304347828
345,21,21.151169977924944
348,21,21.510736842105263
350,21,19.022499999999997
351,21,14.4147471451876
353,21,12.564833836858007
357,21,9.0830959752322
359,21,20.978409638554215
364,21,7.742439024390244
366,21,12.848704156479217
370,21,20.13939637826962
372,21,19.54433090024331
376,21,20.807044025157232
378,21,20.625915492957745
379,21,17.090297366185215
390,21,19.22
24,22,13.828695652173913
33,22,9.694545454545455
44,22,10.049904761904761
53,22,3.9014634146341463
69,22,8.452477064220183
76,22,13.037782026768644
84,22,2.7400346620450606
85,22,2.2296153846153848
87,22,9.749803921568628
101,22,4.841095890410959
105,22,2.8662295081967213
111,22,9.990701754385965
112,22,10.362857142857143
114,22,11.631091703056768
115,22,8.676975609756099
116,22,12.086115288220551
117,22,13.595555555555555
125,22,15.98959409594096
127,22,18.55079365079365
136,22,17.508059701492538
140,22,20.862327416173567
149,22,7.204188034188034
155,22,9.956034188034188
169,22,6.216346516007533
185,22,3.7592957746478874
189,22,6.18
212,22,9.807067395264117
232,22,3.4208391608391606
245,22,11.685892857142857
248,22,10.4909604519774
252,22,9.460740740740741
255,22,6.585022831050228
257,22,2.9075862068965517
258,22,11.291101321585904
265,22,18.054208494208492
269,22,15.647619047619047
275,22,21.17220030349014
278,22,14.449586776859503
279,22,22.12720848056537
280,22,6.8468269230769225
295,22,6.2
296,22,2.325603112840467
300,22,15.122680965147453
302,22,8.713513513513513
