label,t,centroid_z
283,9,8.809609984399376
337,9,8.77962393162393
399,9,10.465454545454545
399,10,10.453293233082706
312,13,7.992200263504611
358,13,10.463539936102237
114,14,5.495474048442907
336,14,12.428966756513926
358,14,10.454205862304022
527,14,13.424850746268657
114,15,6.217079889807162
358,15,10.46965204236006
62,18,3.029043151969981
247,18,9.152692713833156
292,19,7.960913242009132
804,19,2.407543160690571
534,20,15.410376237623762
10,21,5.487078746824724
32,21,5.170285714285714
315,21,8.894080717488789
534,21,15.422259067357512
10,22,5.499984164687253
324,23,5.505560032232071
390,25,10.456114890400606
428,25,18.62739322533137
312,26,10.455888111888113
415,26,7.230225563909774
428,26,20.154366197183098
506,26,17.055977961432507
612,26,5.490934449093445
273,27,5.437988826815642
506,27,17.70312710911136
612,27,5.514373259052925
12,28,5.501770244821093
312,28,10.416580796252926
506,28,17.880221975582685
312,29,9.622038834951457
431,30,10.421647689216343
1071,30,6.951021233569262
1142,30,13.086048109965635
140,31,12.98149556400507
329,31,9.803661327231122
427,31,15.761684919966303
38,32,7.966903426791277
274,32,6.647052631578948
329,32,10.460896551724138
274,33,6.983951367781154
275,33,5.4984709480122325
329,33,10.482282282282283
1246,33,10.455596638655463
1246,34,10.491854199683042
1489,34,12.60288739172281
1183,35,7.955812672176308
163,36,10.464895572263993
507,36,19.325929648241207
546,36,20.138899563318777
1247,36,10.356180904522613
