label,t,centroid_z
1,9,0.0
6,9,1.1625
10,9,3.9445008460236886
27,9,3.5356268221574343
41,9,4.914634146341464
47,9,4.704837545126354
48,9,4.894859287054409
54,9,2.48
55,9,3.924831261101243
56,9,3.98535666218035
75,9,3.862612085769981
82,9,3.503853211009174
88,9,2.7725469168900805
91,9,6.519914712153518
168,9,5.505340314136126
182,9,5.6087417218543045
183,9,5.912091954022988
184,9,5.386790697674419
205,9,7.510857142857143
240,9,5.239367588932806
261,9,6.2
284,9,9.16982206405694
289,9,7.9511977715877435
305,9,9.7464
309,9,7.951081081081081
310,9,8.847036450079239
313,9,9.51367231638418
326,9,7.825777777777778
356,9,7.979764705882353
357,9,7.791150442477877
370,9,11.28462311557789
371,9,11.70663198959688
400,9,10.774453781512603
433,9,12.01609907120743
434,9,10.57767955801105
435,9,10.46867256637168
436,9,10.500486674391656
437,9,11.16
454,9,13.21226480836237
457,9,12.98204081632653
458,9,13.604161849710982
460,9,12.924227642276422
461,9,14.168148148148148
474,9,13.81782945736434
475,9,12.946792058516195
476,9,12.870886075949368
477,9,15.031836734693877
478,9,13.64
482,9,15.772362030905077
490,9,15.418294573643411
491,9,15.506631016042782
492,9,15.488548812664908
498,9,16.159109461966604
511,9,15.61078369905956
514,9,18.186666666666667
516,9,17.937127659574468
517,9,17.901168384879725
525,9,18.140557768924303
526,9,18.2446783625731
527,9,17.564050632911393
528,9,18.806666666666665
529,9,19.90006920415225
537,9,18.717721518987343
538,9,17.92628158844765
540,9,19.643564356435643
542,9,20.209086161879895
544,9,20.649966329966333
545,9,20.954285714285714
547,9,21.08
550,9,21.08
551,9,21.08
552,9,22.32
553,9,22.32
554,9,22.32
555,9,22.32
556,9,22.32
557,9,22.32
558,9,22.32
1,10,0.0
10,10,3.9751768488745984
23,10,8.690163934426229
28,10,5.144498269896194
47,10,5.797543859649123
55,10,5.512972972972973
60,10,3.8971428571428572
69,10,2.9047244094488187
78,10,4.8728125
82,10,3.918034398034398
88,10,2.8668799999999997
115,10,4.232616940581543
148,10,5.515021834061136
170,10,5.551207430340558
180,10,4.840550458715596
183,10,6.365146726862302
184,10,6.328075117370892
221,10,8.68
244,10,5.932060301507538
289,10,7.934501510574018
313,10,8.280263157894737
357,10,8.094891774891774
361,10,16.3187786259542
367,10,10.09282229965157
388,10,10.402510460251046
391,10,10.381960784313726
400,10,10.490916666666667
405,10,10.043295454545454
414,10,15.93487323943662
416,10,10.486442166910688
420,10,12.279757575757575
435,10,10.408846153846154
436,10,11.208627450980392
437,10,10.954514285714286
454,10,13.128659793814432
460,10,12.934430992736077
461,10,15.597254901960785
474,10,13.938395721925133
475,10,12.723830250272034
476,10,12.920221975582685
477,10,15.05378102189781
481,10,19.500476190476192
489,10,15.428852459016394
492,10,13.017061611374409
498,10,15.6736
499,10,14.230913580246915
500,10,16.650472334682863
513,10,18.39882005899705
519,10,16.771413333333335
525,10,18.121681901279707
529,10,19.71638629283489
537,10,17.962777777777777
538,10,17.761021276595745
539,10,20.146172839506175
540,10,21.08
542,10,20.02045738045738
545,10,21.13767441860465
550,10,21.08
551,10,21.08
552,10,22.32
554,10,22.32
556,10,22.32
559,10,0.0
560,10,3.6264150943396225
561,10,3.105040650406504
562,10,4.4335849056603776
563,10,3.040952380952381
564,10,3.7199999999999998
566,10,5.576915422885572
567,10,5.489851632047477
570,10,7.936
571,10,7.993333333333333
581,10,8.031494252873562
582,10,9.92
583,10,10.443850267379679
584,10,10.585737704918033
585,10,10.51956043956044
586,10,13.64
587,10,15.477491749174916
588,10,15.39108108108108
595,10,21.55619771863118
596,10,22.32
597,10,22.32
25,11,3.115897435897436
27,11,3.005176470588235
41,11,4.8375308641975305
69,11,3.053884297520661
89,11,2.8675
90,11,3.7199999999999998
115,11,4.319409594095941
139,11,6.495429497568882
172,11,2.76563071297989
173,11,8.546892655367232
182,11,5.445994236311239
183,11,6.532371134020618
196,11,2.9918427518427517
210,11,4.8507118644067795
284,11,10.494315789473683
289,11,7.999679037111333
290,11,7.87695238095238
292,11,6.357818181818182
311,11,7.838571428571428
313,11,9.43716814159292
323,11,6.276543209876544
357,11,7.5777777777777775
367,11,10.309937106918238
406,11,9.068091603053436
407,11,9.372892998678996
420,11,10.416
435,11,10.435933806146572
436,11,10.486947637292465
437,11,11.372571428571428
453,11,17.50335260115607
454,11,13.306345381526105
460,11,12.95111111111111
470,11,15.995167785234898
475,11,12.46034762456547
476,11,12.947294552169899
477,11,14.63888888888889
488,11,17.888524590163936
492,11,13.02
498,11,16.101492537313433
499,11,12.988114285714287
515,11,19.47492385786802
518,11,17.771049723756907
525,11,18.848
527,11,15.56
529,11,19.933745704467352
538,11,17.763836163836164
540,11,21.08
541,11,20.012688588007734
542,11,20.204887780548628
545,11,21.08
551,11,21.08
552,11,22.32
554,11,21.59003773584906
556,11,22.32
560,11,3.7199999999999998
567,11,6.062222222222223
572,11,10.089982425307557
583,11,10.497670682730924
587,11,14.158799249530956
588,11,16.12
596,11,21.08
597,11,22.32
