label,t,centroid_z
47,18,4.020148749154835
68,18,3.127761194029851
100,18,4.83490022172949
107,18,5.184859154929577
148,18,3.7199999999999998
149,18,4.087657587548638
152,18,5.207744593202884
153,18,3.8716120218579233
155,18,4.483316582914573
157,18,3.7199999999999998
158,18,4.113836477987421
190,18,6.0398740157480315
193,18,5.641752988047809
194,18,4.96
195,18,5.413448873483535
201,18,4.818707482993197
204,18,5.764539614561028
213,18,5.742123613312202
219,18,5.126634382566586
232,18,6.2371072319202
234,18,6.2
271,18,6.271204481792717
292,18,8.319896283491788
293,18,7.4399999999999995
299,18,7.4399999999999995
300,18,9.263345911949687
301,18,7.4399999999999995
302,18,8.737105263157895
303,18,7.4399999999999995
304,18,8.14107243650047
309,18,7.484349070100143
317,18,8.083301400147384
319,18,7.4399999999999995
348,18,10.480795755968169
351,18,8.68
358,18,9.105629290617848
370,18,9.92
371,18,10.759690082644628
372,18,9.92
373,18,11.101784037558685
374,18,10.456
388,18,11.411582403151675
390,18,11.16
393,18,11.320062208398133
395,18,12.743328424153168
397,18,11.16
402,18,11.705062713797036
403,18,11.562403846153845
406,18,12.4
408,18,13.369852796859668
409,18,13.846830818109611
416,18,12.4
419,18,14.699923566878981
421,18,14.416666666666668
422,18,13.64
423,18,15.356621941594316
424,18,13.793284132841327
431,18,13.852208201892743
432,18,14.493279678068411
438,18,15.740826446280993
440,18,14.879999999999999
444,18,16.277460317460317
445,18,17.098028169014086
460,18,18.154060324825988
462,18,17.517344537815127
465,18,18.562137404580152
467,18,17.36
469,18,19.12126370083817
471,18,18.6
473,18,19.20133122028526
474,18,19.40031104199067
476,18,20.20072727272727
477,18,19.84
481,18,20.214308510638297
482,18,19.84
483,18,20.55273504273504
484,18,21.692597014925372
485,18,22.32
486,18,23.56
487,18,23.56
488,18,23.56
489,18,23.56
490,18,23.56
491,18,23.56
492,18,23.56
493,18,23.56
47,19,3.7563142857142857
63,19,2.538075949367088
68,19,2.48
101,19,4.96
102,19,4.96
107,19,5.140655172413793
149,19,5.203157894736842
153,19,3.7199999999999998
155,19,4.96
157,19,3.827016885553471
158,19,3.938181818181818
193,19,5.850733333333333
194,19,4.96
195,19,5.0042857142857144
213,19,4.96
219,19,3.2546318289786225
232,19,6.343249097472924
233,19,6.9892252681764
261,19,7.4399999999999995
292,19,8.515112309074572
301,19,7.045917808219178
303,19,7.4399999999999995
304,19,8.212495511669658
317,19,10.541635883905013
319,19,7.4399999999999995
347,19,9.524750000000001
351,19,9.784908256880733
358,19,8.864288747346073
373,19,10.991075110456554
374,19,8.631688311688311
381,19,11.16
390,19,11.16
395,19,13.229064539521392
397,19,11.16
400,19,11.814941022280472
402,19,11.697355639503508
403,19,11.659179487179488
406,19,11.304365904365905
408,19,13.84509505703422
416,19,12.4
422,19,13.262608695652172
423,19,13.206925373134329
424,19,12.4
425,19,13.64
431,19,13.787814569536424
432,19,12.855571776155719
438,19,17.98
440,19,15.639159503342883
443,19,14.441968365553604
444,19,17.667438016528926
445,19,17.55560885608856
457,19,20.328586956521736
464,19,19.412502596053997
465,19,18.55548717948718
467,19,18.11353846153846
469,19,18.993944562899788
471,19,17.905134818288392
473,19,19.14976223776224
474,19,23.56
482,19,18.199583333333333
483,19,20.470333333333333
484,19,21.149456342668863
485,19,23.56
486,19,21.249977528089886
487,19,23.56
488,19,23.56
490,19,23.56
493,19,23.56
494,19,3.8890909090909087
497,19,4.96
498,19,6.2
500,19,7.819108280254777
501,19,8.68
502,19,10.144795321637426
503,19,11.98079783637593
509,19,14.26
515,19,17.36
516,19,18.6
517,19,20.851076923076924
518,19,23.456666666666667
519,19,23.56
520,19,23.56
521,19,23.56
522,19,23.456666666666667
48,20,3.7710126582278485
101,20,4.581111111111111
108,20,5.14808988764045
111,20,7.060140845070422
133,20,7.4399999999999995
149,20,4.96
155,20,3.7199999999999998
157,20,4.168510638297873
158,20,4.353551912568306
193,20,6.2
195,20,5.70048906048906
205,20,9.696253443526171
233,20,6.91958549222798
263,20,8.913759479956662
274,20,9.92
301,20,7.4399999999999995
303,20,7.4399999999999995
304,20,8.099574468085107
311,20,9.92
319,20,7.4399999999999995
322,20,14.935222672064777
331,20,7.845655314757481
358,20,8.896661466458658
362,20,9.92
373,20,10.704604889141558
391,20,11.755871404399324
392,20,11.895017667844524
395,20,12.544751020408162
397,20,10.46144099378882
400,20,13.64
402,20,11.696176295413936
403,20,11.556439600363305
404,20,12.4
407,20,14.879999999999999
416,20,12.4
423,20,13.64
424,20,12.79379038613081
425,20,13.64
431,20,14.073469387755102
432,20,13.971844813935075
437,20,18.22190917516219
440,20,15.338866310160427
444,20,18.6
456,20,16.12
457,20,20.83519313304721
467,20,17.960981595092022
469,20,19.00009607686149
473,20,19.222101694915253
479,20,19.84
482,20,18.6
483,20,20.532300319488815
484,20,23.56
485,20,23.56
488,20,23.56
490,20,23.56
494,20,4.284402173913043
501,20,9.342095053346265
502,20,10.23695067264574
503,20,11.16
518,20,23.56
519,20,23.56
523,20,0.0
525,20,2.48
530,20,7.4399999999999995
531,20,8.68
532,20,9.92
533,20,10.785907172995781
534,20,12.70955266955267
535,20,12.4
536,20,13.64
537,20,14.210114942528737
538,20,18.993229571984436
539,20,19.40780082987552
540,20,19.42961904761905
541,20,19.84
543,20,21.08
544,20,23.56
545,20,23.56
546,20,23.56
547,20,23.56
548,20,23.56
108,21,2.9986829268292685
111,21,7.4399999999999995
123,21,7.326446886446887
132,21,12.586815789473684
149,21,4.2801136363636365
153,21,4.96
155,21,3.7199999999999998
157,21,3.35129203539823
158,21,5.716386822529224
166,21,7.018922716627635
193,21,6.2
195,21,6.06072463768116
196,21,4.96
206,21,8.68
207,21,10.614637482900136
214,21,4.337203007518797
215,21,8.477090909090908
233,21,7.190940170940171
237,21,7.4399999999999995
264,21,9.496108189331329
265,21,9.511318327974276
274,21,12.25594117647059
301,21,7.4399999999999995
304,21,8.539787985865724
306,21,7.855642458100559
319,21,7.4399999999999995
358,21,8.953159420289856
369,21,11.16
392,21,10.870019569471623
395,21,13.017092614302461
397,21,10.524201367308887
400,21,13.64
402,21,11.623745664739886
403,21,11.540799999999999
416,21,12.7472
424,21,12.898556701030929
425,21,13.062857142857144
431,21,14.063947175348497
437,21,16.12
440,21,15.325153181461117
454,21,19.151233362910382
457,21,19.41578947368421
467,21,18.06557746478873
469,21,18.571758007117438
473,21,19.001116584564862
482,21,16.70736842105263
483,21,21.08
484,21,22.03538461538462
485,21,23.56
488,21,23.56
494,21,4.9093333333333335
500,21,8.68
501,21,9.559202492211838
502,21,9.92
503,21,11.737404580152672
511,21,16.151736745886655
519,21,22.186187050359713
525,21,0.0
526,21,6.2
533,21,9.92
534,21,12.81098484848485
540,21,19.84
541,21,18.6
544,21,23.56
545,21,22.56660084626234
547,21,23.56
548,21,23.56
549,21,4.092137320044297
550,21,5.583668639053254
551,21,4.96
552,21,4.96
553,21,5.6123222748815165
554,21,5.3923889354568315
556,21,7.4399999999999995
559,21,8.159665970772442
560,21,10.599162141194723
561,21,11.525259165613146
562,21,14.74254716981132
563,21,18.39872463768116
564,21,17.36
567,21,17.36
568,21,18.6
569,21,18.6
570,21,19.84
571,21,20.061580756013743
572,21,19.84
573,21,21.861420118343194
574,21,21.08
575,21,21.08
576,21,23.56
577,21,23.56
33,22,3.525733333333333
34,22,2.90910941475827
48,22,0.0
50,22,3.7618181818181817
63,22,2.48
64,22,3.2823529411764705
108,22,4.623275862068965
111,22,8.17931523022432
149,22,3.7199999999999998
152,22,3.7199999999999998
153,22,5.095573333333334
155,22,3.7199999999999998
158,22,6.2
159,22,7.403908523908524
196,22,5.138249999999999
202,22,1.6810738255033557
203,22,2.48
207,22,8.218039215686275
233,22,7.4399999999999995
237,22,7.446231155778895
242,22,9.409470304975923
259,22,11.226568421052631
264,22,8.822744186046512
265,22,8.68
292,22,8.68
301,22,7.4399999999999995
304,22,8.651329479768785
319,22,6.948118081180812
358,22,9.92
378,22,13.11350089766607
385,22,10.755862068965516
389,22,12.4
391,22,10.885280728376328
395,22,12.818659793814433
397,22,11.326946341463415
402,22,11.561265206812653
403,22,11.001936758893281
416,22,12.61125925925926
417,22,15.259402985074626
424,22,11.8534435261708
425,22,13.102157164869029
431,22,14.114804845222073
436,22,16.12
440,22,15.304323699421966
445,22,18.6
461,22,18.18331983805668
465,22,17.36
467,22,17.700605095541402
469,22,18.6
473,22,18.935817855002995
482,22,18.6
483,22,20.310344827586206
484,22,21.835951807228916
485,22,22.32
488,22,23.56
494,22,4.96
495,22,5.336428571428572
500,22,8.193480885311871
501,22,9.229484151646986
503,22,11.94389344262295
511,22,15.510257352941176
519,22,23.56
525,22,2.981233766233766
533,22,11.16
534,22,12.269360967184802
541,22,16.68989898989899
544,22,23.56
545,22,23.56
547,22,23.56
551,22,4.96
552,22,4.96
554,22,5.582995169082125
559,22,11.16
563,22,17.319880167765128
564,22,17.36
567,22,17.782636655948554
568,22,19.84
569,22,16.252199730094468
571,22,19.31333998005982
573,22,21.08
574,22,21.0421511627907
577,22,23.56
578,22,0.0
579,22,3.5570049916805324
580,22,6.2
581,22,8.06
582,22,8.280090634441088
584,22,10.4807903402854
586,22,16.301589958158996
587,22,19.50181818181818
588,22,21.478114874815905
589,22,23.56
590,22,23.56
591,22,23.456666666666667
48,23,2.94296943231441
51,23,0.10553191489361702
55,23,7.735157318741449
110,23,7.843444976076555
123,23,9.233452593917711
149,23,3.7199999999999998
155,23,4.094185022026432
158,23,5.371791044776119
197,23,5.219296066252588
200,23,6.2
203,23,4.253836858006042
207,23,6.951461318051576
259,23,11.334420803782507
264,23,8.68
265,23,8.301898066783831
292,23,9.92
301,23,8.174446227929373
304,23,8.887496653279786
319,23,7.4399999999999995
322,23,14.879999999999999
358,23,9.039088937093275
369,23,10.307375201288243
375,23,8.673926530612246
389,23,13.64
391,23,12.4
398,23,8.68
399,23,9.92
402,23,11.721406593406593
403,23,11.418381395348836
416,23,12.4
417,23,15.806836734693878
421,23,16.779055118110236
424,23,12.4
425,23,13.542323097463283
431,23,14.107908847184987
440,23,15.054214876033058
445,23,17.82067372473532
461,23,19.033694581280788
465,23,17.36
469,23,19.84
470,23,17.94144537815126
473,23,18.994764281752634
482,23,14.879999999999999
483,23,21.08
484,23,22.61770354906054
485,23,21.492589928057555
488,23,23.56
494,23,4.96
500,23,8.68
501,23,10.051146295123495
519,23,21.08
533,23,9.92
534,23,12.831456859971711
541,23,15.967451669595782
544,23,23.56
547,23,23.56
552,23,4.5709183673469385
559,23,12.4
563,23,17.89605220228385
564,23,17.590876648564777
568,23,17.36
569,23,18.6
571,23,16.12
573,23,22.576198347107436
577,23,23.56
578,23,0.0
579,23,3.6769665809768637
581,23,7.9123809523809525
582,23,8.68
583,23,8.68
586,23,13.608951486697965
593,23,5.859324796274738
596,23,6.2
597,23,6.3305263157894744
598,23,16.12
599,23,18.6
600,23,18.6
601,23,19.84
602,23,19.84
603,23,23.456666666666667
604,23,23.456666666666667
605,23,23.56
43,24,3.229887240356083
110,24,7.559145907473309
149,24,3.7199999999999998
